,original_id,code_id
61,ECLI_CZ_NS_2006_4.TZ.138.2006.1.xmi,61
62,648687.xmi,62
63,629245.xmi,63
64,ECLI_CZ_NS_2009_28.CDO.2003.2008.1.xmi,64
65,ECLI_CZ_NS_2021_4.TZ.30.2021.3.xmi,65
66,722098.xmi,66
67,ECLI_CZ_NS_2003_33.ODO.939.2002.1.xmi,67
68,ECLI_CZ_NS_2018_20.CDO.431.2018.1.xmi,68
69,ECLI_CZ_NS_2023_11.TCU.160.2023.1.xmi,69
70,ECLI_CZ_NS_2000_3.TZ.278.2000.1.xmi,70
71,ECLI_CZ_NS_2015_22.CDO.4276.2014.1.xmi,71
72,ECLI_CZ_NS_2006_29.ODO.96.2006.1.xmi,72
73,ECLI_CZ_NS_2021_29.ICDO.126.2019.1.xmi,73
74,ECLI_CZ_NS_2000_3.TZ.173.2000.1.xmi,74
75,ECLI_CZ_NS_2012_4.ND.372.2011.1.xmi,75
76,619647.xmi,76
77,ECLI_CZ_NS_2000_3.TZ.121.2000.1.xmi,77
78,ECLI_CZ_NS_2009_32.CDO.661.2008.1.xmi,78
79,ECLI_CZ_NS_2012_23.CDO.405.2011.1.xmi,79
80,646141.xmi,80
81,721737.xmi,81
82,ECLI_CZ_NS_2000_20.CDO.572.2000.1.xmi,82
83,ECLI_CZ_NS_2009_21.CDO.89.2008.1.xmi,83
84,ECLI_CZ_NS_2023_22.CDO.75.2023.1.xmi,84
85,659316.xmi,85
86,ECLI_CZ_NS_2021_6.TD.37.2021.1.xmi,86
87,647980.html.xmi,87
88,ECLI_CZ_NS_2012_28.CDO.362.2012.1.xmi,88
89,ECLI_CZ_NS_2006_20.ND.106.2005.1.xmi,89
90,ECLI_CZ_NS_2021_28.ND.606.2020.1.xmi,90
91,ECLI_CZ_NS_2015_8.TZ.20.2015.1.xmi,91
92,ECLI_CZ_NS_2024_4.TDO.425.2024.1.xmi,92
93,624289.xmi,93
94,ECLI_CZ_NS_2023_33.CDO.2958.2022.1.xmi,94
95,717641.xmi,95
96,ECLI_CZ_NS_1997_2.CDON.439.97.1.xmi,96
97,637977.xmi,97
98,648812.xmi,98
99,646817.xmi,99
100,ECLI_CZ_NS_2003_26.CDO.943.2001.1.xmi,100
101,ECLI_CZ_NS_1997_2.CDON.1060.97.1.xmi,101
102,670553.xmi,102
103,ECLI_CZ_NS_2015_21.CDO.30.2015.1.xmi,103
104,708601.xmi,104
105,ECLI_CZ_NS_1998_1.ODON.60.97.1.xmi,105
106,ECLI_CZ_NS_2021_28.CDO.2754.2021.1.xmi,106
107,ECLI_CZ_NS_2009_4.ND.227.2009.1.xmi,107
108,ECLI_CZ_NS_2012_28.CDO.4507.2011.1.xmi,108
109,ECLI_CZ_NS_2006_4.TZ.69.2006.1.xmi,109
110,ECLI_CZ_NS_2003_5.TDO.910.2003.1.xmi,110
